gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000000003,1.6062,1.3214,2.4139,1.9715,1.8868,0.9522,1.7733,1.2711,1.384,1.3648
ENSG00000000005,0.0056,0.0077,0.0031,0.0059,0.0021,0.0009,0.0035,0.005,0.0016,0.0044
ENSG00000000419,0.5644,0.562,0.8823,0.6926,0.6095,0.4978,0.7038,0.6722,0.7009,0.6063
ENSG00000000457,0.749,1.0762,0.742,0.6353,0.7212,1.1491,0.8064,0.9252,0.8922,0.782
ENSG00000000460,0.2226,0.2522,0.3784,0.222,0.2711,0.3559,0.3613,0.3181,0.2794,0.2214
ENSG00000000938,0.7567,0.7109,0.5561,0.8255,1.2901,1.934,0.4377,0.6622,0.5595,0.1897
ENSG00000000971,1.6717,5.372,3.5556,4.3714,2.476,4.1149,1.8174,2.7461,3.0185,0.9827
ENSG00000001036,1.2431,1.0953,2.5154,1.8038,1.1957,1.2893,1.6474,1.8679,1.41,1.6765
ENSG00000001084,1.3919,2.0461,3.0615,2.1946,2.6116,2.5356,3.19,3.3358,2.6972,2.5095
ENSG00000001167,1.0823,1.1366,1.6603,1.1905,1.3198,1.9337,1.7114,1.8365,1.9735,1.4204
ENSG00000001460,1.1392,1.2821,1.0107,1.0704,0.9641,1.1773,0.9987,1.0924,1.4305,1.2457
ENSG00000001461,3.863,8.8369,2.8605,3.9462,4.82,9.9407,7.6414,11.1334,10.2677,9.3432
ENSG00000001497,1.7073,2.4628,2.0347,2.0398,1.6104,2.3154,2.3769,3.6735,2.7187,2.7532
ENSG00000001561,1.5282,1.5732,1.6465,2.5382,2.1105,3.8332,2.8613,4.4843,4.0809,2.8248
ENSG00000001617,1.5699,1.6809,0.7079,0.7171,0.8254,1.7377,0.4157,0.5882,0.7767,0.2948
ENSG00000001626,0.0983,0.2131,0.0909,0.1566,0.0828,0.1415,0.2197,0.3996,0.2314,0.1854
ENSG00000001629,3.4585,3.7504,4.8356,3.4497,4.1201,4.8764,6.2198,5.7964,4.9064,5.1666
ENSG00000001630,3.2993,4.0412,2.9931,4.268,3.8664,10.8075,5.4504,5.5325,5.7875,5.245
ENSG00000001631,1.9921,1.6888,1.8804,1.7502,1.9152,1.8367,2.0239,1.7455,1.672,1.8981
ENSG00000002016,0.7718,1.3186,1.3618,0.8698,1.3205,1.2199,1.1746,0.7768,1.1995,0.6511
ENSG00000002079,0.0025,0.0111,0.0153,0.0178,0.0121,0.0104,0.0208,0.0237,0.0161,0.0211
ENSG00000002330,1.9132,2.0944,1.5274,1.2992,1.5223,1.7686,1.3432,1.8595,1.6534,1.4559
ENSG00000002549,3.0726,1.751,3.0491,3.3022,1.3688,1.4607,2.0047,2.3444,2.0352,1.7708
ENSG00000002586,7.3217,10.0078,15.1854,9.1852,7.0376,3.8885,7.383,10.8691,7.6585,9.6639
ENSG00000002587,0.6924,0.559,0.4387,0.3039,0.7295,0.4929,0.4432,0.4556,0.3426,0.338
ENSG00000002726,0.021,0.0163,0.0075,0.01,0.0255,0.0105,0.0162,0.005,0.0089,0.0064
ENSG00000002745,0.0321,0.0453,0.0179,0.0178,0.0262,0.0463,0.0365,0.0204,0.0151,0.0289
ENSG00000002746,0.3237,0.2649,0.1812,0.3767,0.2946,0.3392,0.2898,0.2245,0.2271,0.6924
ENSG00000002822,0.5183,0.6456,0.4348,0.5994,0.4831,0.6579,0.5535,0.8671,0.6778,0.7872
ENSG00000002834,7.4113,6.0864,6.0332,5.581,6.2514,5.8453,4.6302,4.8521,4.0941,5.909
ENSG00000002919,0.7699,0.8283,0.73,0.725,0.7667,0.7921,0.7539,0.6472,0.9111,0.5741
ENSG00000002933,2.2097,1.5509,3.6036,3.7926,1.7044,0.5182,1.3632,1.3184,2.4369,0.9553
ENSG00000003056,2.6616,2.6188,2.8205,3.2844,2.961,2.2281,2.5549,2.8373,2.6552,2.6009
ENSG00000003096,0.466,0.2459,0.9122,0.6795,0.4902,0.1525,0.4012,0.3389,0.3856,0.7626
ENSG00000003137,0.3374,0.3225,0.2665,0.2781,0.364,0.3653,0.2461,0.2767,0.1668,0.3671
ENSG00000003147,0.5324,0.8458,0.2519,0.5737,0.3586,0.5578,0.3694,0.3715,0.497,0.7883
ENSG00000003249,1.3325,1.144,0.7545,0.8382,0.9302,0.7025,0.7319,0.8762,1.0238,1.4952
ENSG00000003393,1.6513,1.3798,2.3664,1.6682,1.9244,1.7434,1.8501,1.8573,1.679,1.8694
ENSG00000003400,0.8885,0.8862,0.6521,0.7335,0.8314,1.0472,0.5658,0.5821,0.7401,0.4102
ENSG00000003402,11.6796,13.7246,11.7397,9.0058,11.3292,14.4785,9.6981,9.5466,10.8465,7.5589
ENSG00000003436,1.7281,3.1566,1.3134,1.2158,1.4066,2.7077,1.2884,1.7498,1.7089,1.5006
ENSG00000003509,0.7543,0.6876,0.7399,0.787,0.6646,0.5683,0.6564,0.6019,0.5394,0.6652
ENSG00000003756,5.5044,7.2639,10.1168,8.7576,6.1933,6.8553,9.3223,8.6929,7.2374,8.772
ENSG00000003987,0.6043,0.4829,0.3293,0.8457,0.5804,1.0768,1.1547,1.6048,1.2172,1.5361
ENSG00000003989,1.1925,1.9242,6.7155,3.5027,2.3191,1.4573,2.9957,1.2273,1.7518,1.0614
ENSG00000004059,2.3954,2.6108,2.1052,2.5174,1.7552,1.9507,1.8915,2.5534,2.2317,2.6689
ENSG00000004139,1.4303,1.5653,1.5983,1.5619,1.7135,1.4357,2.0245,1.7819,1.6822,2.1309
ENSG00000004142,2.1213,2.3092,2.9813,2.5592,2.1728,2.0246,2.2411,2.3418,2.6673,2.1657
ENSG00000004399,2.9592,5.8093,5.974,8.2744,6.1576,8.447,6.2254,7.7573,7.7281,4.357
ENSG00000004455,2.0214,2.4936,3.3039,2.7569,1.9098,2.3392,2.7175,3.3675,2.9254,2.2964
ENSG00000004468,0.2156,0.5947,0.4533,0.9188,0.3098,0.2522,1.5638,0.7553,0.6367,1.3945
ENSG00000004478,30.3574,12.0006,12.662,4.8355,7.6593,6.081,5.6624,4.4478,5.3247,5.3272
ENSG00000004487,2.2915,1.6587,2.388,2.308,2.2536,1.7547,2.1217,1.7912,2.0651,2.4924
ENSG00000004534,10.44,8.9303,13.769,8.8076,10.0261,7.6594,6.5426,7.5808,7.5285,6.9813
ENSG00000004660,1.0191,0.5415,0.7074,1.092,1.0928,0.4804,0.8637,0.5722,0.6698,1.1866
ENSG00000004700,0.4583,0.5919,1.0536,1.0393,0.795,0.8987,0.7489,0.801,0.6008,0.4559
ENSG00000004766,0.9599,0.8667,0.7825,0.9465,1.0312,0.8708,1.1153,1.0009,0.9055,1.1291
ENSG00000004776,3.5027,7.5561,8.2673,4.0919,2.5398,2.2455,4.4291,7.2713,6.5664,5.1628
ENSG00000004777,2.5544,3.2763,1.5994,2.5303,2.2042,5.1996,4.0271,6.6644,5.1958,5.1181
ENSG00000004779,1.2575,0.9453,1.3429,1.2519,1.2135,0.8202,1.1631,1.0709,1.0895,1.2161
ENSG00000004799,6.1428,11.5972,5.8449,5.1433,9.6588,12.6152,8.8476,5.2564,9.4893,2.6297
ENSG00000004809,0.0575,0.0984,0.0222,0.0218,0.0387,0.0689,0.0404,0.0558,0.0701,0.0436
ENSG00000004838,1.0966,0.8666,0.9766,0.5937,1.0704,0.6806,0.8938,0.9539,0.5969,1.4337
ENSG00000004846,0.0873,0.1308,0.0464,0.039,0.0705,0.1263,0.09,0.0676,0.1006,0.0546
ENSG00000004848,0.1096,0.08,0.054,0.1475,0.2119,0.1209,0.1482,0.1306,0.1098,0.4481
ENSG00000004864,0.3292,0.6116,0.3956,0.5589,0.5113,0.909,1.277,1.7625,1.0812,1.0357
ENSG00000004866,1.2503,0.8169,1.315,0.9537,1.1112,0.7768,1.0124,0.8854,0.89,1.1837
ENSG00000004897,2.1421,1.8119,2.2636,2.6447,2.058,2.2061,2.7206,2.1299,1.8422,2.6182
ENSG00000004939,0.1054,0.2248,0.1048,0.0668,0.0823,0.1989,0.1001,0.2378,0.1048,0.0925
