gene,GSM3601227,GSM3601228,GSM3601229,GSM3601230,GSM3601231,GSM3601232
ENSG00000000003,1.962,2.6067,1.7243,1.82,1.6679,2.6527
ENSG00000000005,0.0057,0.0053,0.0076,0.0243,0.0039,0.0048
ENSG00000000419,0.2557,0.143,0.2521,0.0924,0.3278,0.333
ENSG00000000457,2.727,2.5396,2.4721,2.2104,2.2349,2.6361
ENSG00000000460,0.7185,0.732,0.5281,0.7153,0.666,0.9433
ENSG00000000938,3.0963,3.2418,3.1093,3.1271,3.8063,3.8463
ENSG00000000971,0.6332,0.7896,0.7065,0.6556,0.5205,0.7533
ENSG00000001036,1.904,2.4017,2.0667,2.3464,1.8702,2.3612
ENSG00000001084,1.7919,1.9663,2.1696,2.4281,1.7751,2.1267
ENSG00000001167,0.4488,0.2697,0.2368,0.2286,0.6903,0.4681
ENSG00000001460,4.8462,5.6893,4.9217,4.7517,3.8515,5.4998
ENSG00000001461,6.3564,6.3439,5.9168,7.033,5.7912,6.295
ENSG00000001497,0.5624,0.2168,0.3896,0.3161,0.4666,0.3619
ENSG00000001561,0.2329,0.2062,0.2368,0.1897,0.2661,0.4199
ENSG00000001617,0.017,0.0053,0.0535,0.034,0.0039,0.0338
ENSG00000001626,2.3049,2.0048,1.612,2.0824,2.0159,2.4242
ENSG00000001629,0.9033,0.8514,1.2605,1.184,1.6709,1.3012
ENSG00000001630,0.8152,0.9247,1.1656,0.79,0.7434,0.9763
ENSG00000001631,3.4381,4.3916,3.7189,3.2702,2.9252,3.4728
ENSG00000002016,0.3007,0.3822,0.2099,0.2235,0.4825,0.4429
ENSG00000002079,0.0511,0.0159,0.0382,0.034,0.0039,0.0145
ENSG00000002330,0.267,0.1369,0.2674,0.2383,0.217,0.082
ENSG00000002549,0.4143,0.3543,0.2215,0.5787,0.4666,0.3716
ENSG00000002586,0.9313,1.3104,1.5834,0.9881,1.5974,1.7922
ENSG00000002587,0.384,0.6027,0.6632,0.36,0.7163,0.6815
ENSG00000002726,0.1796,0.2216,0.2097,0.2213,0.2304,0.2976
ENSG00000002745,0.0625,0.0159,0.0229,0.0438,0.0578,0.0145
ENSG00000002746,3.0621,2.445,2.7759,3.5136,1.3753,2.3023
ENSG00000002822,0.6306,0.7654,0.573,0.8872,0.6952,0.6917
ENSG00000002834,9.9742,10.4401,9.353,10.9785,9.5348,10.4785
ENSG00000002919,1.5729,0.8926,1.2406,1.1367,1.2068,0.9511
ENSG00000002933,0.3806,0.5341,0.3743,0.462,0.4898,0.3523
ENSG00000003056,0.9686,1.0186,1.3138,0.7526,1.5859,0.989
ENSG00000003096,0.0057,0.0053,0.0229,0.0438,0.0193,0.0048
ENSG00000003137,0.0511,0.0159,0.0688,0.034,0.0039,0.0241
ENSG00000003147,2.3891,2.149,1.9863,2.3222,2.0858,2.0064
ENSG00000003249,0.2496,0.2956,0.1371,0.3557,0.1461,0.2344
ENSG00000003393,2.469,2.578,2.3694,2.9545,2.3405,2.9523
ENSG00000003400,13.4271,14.233,12.5464,14.7565,10.4648,10.712
ENSG00000003402,281.7228,289.3164,243.5776,295.7068,140.272,224.6284
ENSG00000003436,17.8093,27.5924,18.5124,22.1239,11.462,16.6312
ENSG00000003509,2.4775,3.2104,2.9809,2.7442,2.4494,2.6494
ENSG00000003756,15.3705,14.5827,12.4578,14.442,15.2443,17.4126
ENSG00000003987,0.1741,0.0899,0.053,0.0632,0.2334,0.1242
ENSG00000003989,0.3695,0.2593,0.2063,0.3943,0.2431,0.3044
ENSG00000004059,0.37,0.3422,0.764,0.3466,0.5817,0.6026
ENSG00000004139,3.3726,3.7273,3.0531,3.2723,3.0206,3.2948
ENSG00000004142,0.2102,0.0793,0.3743,0.3258,0.3432,0.1842
ENSG00000004399,0.4034,0.6293,0.5883,0.5885,0.4126,0.2558
ENSG00000004455,0.9491,0.7882,1.1077,0.6959,1.362,0.9122
ENSG00000004468,2.1665,2.3713,2.6219,2.5951,1.8676,2.2571
ENSG00000004478,0.3466,0.3966,0.2979,0.4426,0.5129,0.4778
ENSG00000004487,0.2784,0.1957,0.5119,0.2383,0.5438,0.3426
ENSG00000004534,2.8026,3.9622,2.6801,3.3127,4.9502,4.955
ENSG00000004660,0.5976,0.7173,0.8573,0.4525,1.0275,0.8015
ENSG00000004700,0.2451,0.1428,0.5173,0.211,0.5107,0.4623
ENSG00000004766,2.7595,3.1077,3.2848,3.0803,2.3418,2.6439
ENSG00000004776,0.0625,0.0159,0.0076,0.0049,0.0116,0.0145
ENSG00000004777,0.017,0.0476,0.084,0.0565,0.1041,0.0724
ENSG00000004779,0.392,0.3014,0.2368,0.2578,0.2969,0.2461
ENSG00000004799,0.1875,0.2909,0.6952,0.3064,0.2044,0.2075
ENSG00000004809,0.5284,0.3649,0.4049,0.6371,0.3278,0.2365
ENSG00000004838,0.0284,0.0899,0.084,0.034,0.1273,0.0531
ENSG00000004846,0.7308,1.0705,0.7711,0.7923,0.9137,0.88
ENSG00000004848,0.0555,0.0619,0.126,0.1092,0.029,0.0048
ENSG00000004864,0.1079,0.1216,0.1146,0.141,0.2507,0.1496
ENSG00000004866,0.0966,0.0476,0.1146,0.0438,0.0578,0.0531
ENSG00000004897,1.1883,1.2181,2.1678,1.3003,1.5627,1.2686
ENSG00000004939,14.1849,14.4226,79.0573,7.3216,20.5056,5.8997
ENSG00000004948,0.0511,0.0264,0.0229,0.0146,0.0039,0.0145
ENSG00000004961,0.0511,0.0159,0.1299,0.1216,0.0656,0.0531
ENSG00000004975,0.4931,0.5645,0.6737,0.7677,0.6556,0.6381
ENSG00000005001,0.0057,0.0687,0.0229,0.0146,0.0039,0.0145
ENSG00000005007,1.3465,1.3168,1.3064,1.5514,1.9244,1.3657
ENSG00000005020,2.2643,2.3,2.2618,2.4528,2.2607,3.0177
ENSG00000005022,0.1761,0.0687,0.2368,0.073,0.2738,0.2365
ENSG00000005059,0.4034,0.3755,0.5271,0.4231,0.6286,0.6515
ENSG00000005073,0.0398,0.0053,0.0076,0.0243,0.0039,0.0048
ENSG00000005075,0.1081,0.0478,0.0229,0.1217,0.1071,0.0829
ENSG00000005100,1.0976,1.1777,1.1627,1.0097,0.9774,1.1651
ENSG00000005102,0.0398,0.0053,0.0535,0.0146,0.0193,0.0241
ENSG00000005108,0.0511,0.0899,0.0688,0.1421,0.0116,0.1013
ENSG00000005156,2.4173,2.5523,2.0238,2.8425,2.4421,2.9329
ENSG00000005175,0.9408,1.4134,0.7617,1.3627,1.2006,0.9845
ENSG00000005187,0.9191,0.8799,0.6549,0.7515,1.13,0.898
ENSG00000005189,0.0583,0.0182,0.1686,0.1421,0.0263,0.0777
ENSG00000005194,0.1875,0.1111,0.084,0.1508,0.1658,0.1689
ENSG00000005206,0.817,0.4498,0.5514,0.8086,0.9946,0.8198
ENSG00000005238,0.8806,0.6505,2.6357,0.6663,1.1222,0.6901
ENSG00000005243,0.017,0.0264,0.084,0.0049,0.0039,0.0048
ENSG00000005249,0.2557,0.513,0.9397,0.141,0.4396,0.1593
ENSG00000005302,2.4079,1.971,1.7673,2.3199,2.745,2.5982
ENSG00000005339,6.041,4.888,5.3593,6.0157,5.2296,5.3804
ENSG00000005379,1.028,0.757,1.1571,0.7484,1.4733,1.1534
ENSG00000005381,0.0284,0.037,0.0993,0.0146,0.027,0.0145
ENSG00000005421,0.0888,0.1031,0.0701,0.0847,0.0743,0.0562
ENSG00000005436,3.2895,3.654,3.3053,4.0203,2.4464,3.2236
ENSG00000005448,0.8079,1.0361,0.4642,0.7339,0.8584,0.9505
ENSG00000005469,1.8123,2.3322,1.9023,2.1836,2.0356,2.4371
ENSG00000005471,0.142,0.1322,0.0535,0.073,0.1195,0.0627
ENSG00000005483,3.6074,3.5703,3.5307,3.6548,5.0771,4.529
ENSG00000005486,0.4943,0.2697,0.4355,0.2091,0.5438,0.1882
ENSG00000005513,0.0284,0.037,0.0535,0.0632,0.0424,0.0531
ENSG00000005700,1.0938,1.3849,1.475,1.1576,1.1978,1.2904
ENSG00000005801,4.8567,5.7304,5.1392,5.5707,4.6729,5.0975
ENSG00000005810,3.515,3.6457,3.2316,4.39,6.7541,5.5254
ENSG00000005812,3.1273,2.761,3.4627,2.9087,3.1108,2.55
ENSG00000005844,9.6687,10.9628,9.9007,14.2745,10.4303,17.7447
ENSG00000005882,0.1784,0.1344,0.2412,0.19,0.2683,0.1429
ENSG00000005884,1.2663,1.6872,1.3777,1.5144,1.385,1.5911
ENSG00000005889,3.9121,3.7447,2.5558,3.0136,3.592,3.3227
ENSG00000005893,8.7789,9.1342,8.6709,9.262,6.6987,7.8441
ENSG00000005961,0.4635,1.4419,1.4496,0.5903,0.7216,0.8955
ENSG00000005981,4.127,6.4764,3.535,4.6955,2.3,3.0213
ENSG00000006007,1.5283,1.2801,2.4992,1.451,1.3321,1.1836
ENSG00000006015,3.7794,4.3776,3.1825,4.952,2.6128,4.2897
ENSG00000006016,0.6718,0.6265,0.3635,0.8212,0.7039,0.8043
ENSG00000006025,0.2102,0.0687,0.0535,0.1313,0.1273,0.2268
ENSG00000006042,0.9243,0.878,0.6825,0.8269,0.8592,0.8628
ENSG00000006047,0.0625,0.0264,0.0535,0.0632,0.0964,0.0531
ENSG00000006059,0.0114,0.0053,0.0153,0.0049,0.0039,0.0048
ENSG00000006062,0.7102,0.5024,0.4507,0.4037,0.7212,0.4585
ENSG00000006071,0.7616,0.6612,0.798,0.7799,0.4803,0.4197
ENSG00000006116,0.0057,0.0159,0.0688,0.0049,0.0193,0.0627
ENSG00000006118,2.6063,2.6653,3.0407,3.0805,1.9203,2.8023
ENSG00000006125,1.5283,1.8139,3.4455,1.1721,2.8036,1.5684
ENSG00000006128,0.017,0.0053,0.0076,0.0146,0.0039,0.0048
ENSG00000006194,0.5056,0.2062,0.2521,0.4037,0.4126,0.4592
ENSG00000006210,1.0817,1.2786,0.9509,0.8681,0.9032,0.9697
ENSG00000006282,0.3011,0.0899,0.1757,0.1897,0.1735,0.1593
ENSG00000006283,1.4856,1.4506,1.7999,1.9855,0.9861,1.3823
ENSG00000006327,0.0739,0.0582,0.084,0.0146,0.0424,0.0434
ENSG00000006377,0.1472,0.1005,0.1936,0.1799,0.0983,0.0537
ENSG00000006432,1.0211,1.1956,0.9119,0.922,1.1274,0.9842
ENSG00000006451,0.3273,0.2519,0.3591,0.3781,0.585,0.3615
ENSG00000006453,0.6099,0.6207,0.8813,0.9421,0.7611,0.8178
ENSG00000006459,3.3803,2.8187,3.3844,3.4387,4.5082,3.9139
ENSG00000006468,0.0966,0.0264,0.1146,0.1119,0.0656,0.0627
ENSG00000006530,5.8728,7.5277,5.708,5.7942,4.9139,5.9157
ENSG00000006534,5.0265,5.6804,5.5025,5.8537,3.5986,5.8174
ENSG00000006555,1.9147,1.7742,1.9826,2.3151,1.8507,1.9533
ENSG00000006576,1.9226,1.9841,1.9865,2.2446,2.4562,2.02
ENSG00000006606,0.0398,0.0053,0.0076,0.0049,0.0039,0.0048
ENSG00000006607,1.6839,1.2484,1.5146,1.5235,1.2295,1.4608
ENSG00000006611,0.0284,0.0582,0.0229,0.034,0.0193,0.0145
ENSG00000006625,0.017,0.037,0.0535,0.1313,0.1167,0.0434
ENSG00000006634,0.3856,0.3498,0.2064,0.4385,0.3809,0.3918
ENSG00000006638,1.1188,1.2512,1.0481,1.0585,1.2813,1.1785
ENSG00000006652,4.8402,3.548,4.524,5.0172,5.0743,5.1732
ENSG00000006659,1.1533,0.8937,0.6952,0.9386,0.7057,1.1438
ENSG00000006695,0.0625,0.0264,0.0229,0.073,0.1321,0.1303
ENSG00000006704,2.0284,2.4207,1.6324,2.2084,1.6146,2.0838
ENSG00000006712,0.1648,0.238,0.3285,0.1994,0.3818,0.2172
ENSG00000006715,6.6625,4.4095,6.8568,5.946,4.1186,6.7105
ENSG00000006740,0.5308,0.7381,0.7346,0.5917,0.5766,0.7523
ENSG00000006744,1.8373,1.7067,1.6453,1.4612,1.673,1.716
ENSG00000006747,3.8463,5.0679,4.6337,4.4735,4.0142,5.0672
ENSG00000006756,5.1799,5.4207,4.6457,5.2421,4.5822,5.17
ENSG00000006757,3.1772,3.5019,2.721,3.8259,2.6547,3.8264
ENSG00000006788,0.0707,0.0159,0.0229,0.0454,0.027,0.0338
ENSG00000006831,0.1241,0.2201,0.2788,0.1426,0.4003,0.1992
ENSG00000006837,0.6322,1.0437,0.7586,0.7976,0.5777,0.84
ENSG00000007001,1.4137,2.5474,1.0082,1.0031,0.4371,1.8463
ENSG00000007038,0.0454,0.0053,0.0229,0.034,0.0309,0.0338
ENSG00000007047,2.3733,2.2521,2.5099,2.918,2.5247,2.3825
ENSG00000007062,0.097,0.0691,0.0535,0.1222,0.0429,0.1508
ENSG00000007080,1.5615,1.1799,1.5852,2.0364,1.2865,1.429
ENSG00000007129,1.7016,1.1089,1.1776,1.0124,0.7914,0.9352
ENSG00000007168,8.7993,8.3598,7.5865,8.304,7.8015,7.9342
ENSG00000007171,0.0284,0.0687,0.0229,0.0537,0.0193,0.0241
ENSG00000007174,0.6784,1.0832,0.6138,0.7561,0.6969,0.6842
ENSG00000007202,1.4195,1.6274,1.7622,1.4711,2.444,2.1122
ENSG00000007216,0.017,0.0053,0.0382,0.0243,0.0039,0.0048
ENSG00000007237,7.0954,4.6061,6.0645,6.0863,4.2055,4.8304
ENSG00000007255,0.1307,0.1322,0.1604,0.0632,0.2044,0.111
ENSG00000007264,1.4365,1.6264,1.2239,1.6965,1.3553,1.3834
ENSG00000007306,0.0284,0.0053,0.084,0.034,0.0039,0.0241
ENSG00000007312,0.3806,0.2909,0.191,0.2189,0.59,0.1689
ENSG00000007314,0.017,0.0264,0.0382,0.0243,0.0424,0.0434
ENSG00000007341,1.0904,1.2794,1.378,1.5408,1.2419,1.2803
ENSG00000007350,0.0057,0.037,0.0382,0.0438,0.0193,0.0338
ENSG00000007372,0.8122,0.7,0.4421,0.7826,0.5521,0.3501
ENSG00000007376,0.2102,0.1851,0.2368,0.1119,0.2584,0.1593
ENSG00000007384,0.0284,0.0053,0.0229,0.0146,0.0039,0.0338
ENSG00000007392,5.1925,6.3276,5.1622,5.5757,4.9538,6.1983
ENSG00000007402,0.1648,0.0899,0.3285,0.1994,0.1735,0.2365
ENSG00000007516,0.1431,0.1534,0.3438,0.1216,0.2352,0.0627
ENSG00000007520,0.1865,0.0793,0.2827,0.1897,0.0887,0.1303
