gene,GSM5470483,GSM5470484,GSM5470485,GSM5470486,GSM5470487,GSM5470488,GSM5903107,GSM5903108,GSM5903109,GSM5903110,GSM5903111,GSM5903112,GSM5903113,GSM5903114
ENSG00000000003,5.2488,0.945,1.6516,1.5131,1.9775,0.6556,2.4968,0.5955,1.5774,1.0098,0.446,1.1212,1.6149,1.3007
ENSG00000000005,0.0085,0.0004,0.0016,0.022,0.0078,0.0066,0.0186,0.0003,0.0064,0.0003,0.0004,0.0004,0.001,0.0061
ENSG00000000419,1.6437,1.4445,2.1846,0.8185,1.5015,1.4258,1.2532,1.2933,1.0604,1.6892,1.9532,1.1119,1.789,1.5428
ENSG00000000457,0.9331,1.6247,1.3049,0.9989,1.1912,1.1027,0.9149,0.9965,0.8669,1.185,1.3664,1.4271,0.9557,1.8893
ENSG00000000460,0.4552,0.612,0.9316,0.6143,0.6887,0.7181,0.3768,0.7708,0.4557,0.7935,0.9598,0.7203,1.1026,0.9475
ENSG00000000938,0.2015,0.0406,0.1434,1.3996,0.2549,0.1056,0.6686,0.7374,0.1277,0.1362,0.1817,0.3275,0.1462,0.0441
ENSG00000000971,1.0845,0.1598,1.1769,2.9445,0.5648,1.3053,3.1383,0.5238,0.6377,0.4913,0.2723,1.4091,1.2335,0.067
ENSG00000001036,1.0932,0.8999,0.6294,0.5055,0.9675,0.7019,0.6895,1.2547,0.6208,2.0097,1.4615,1.0738,1.0141,1.4814
ENSG00000001084,2.3289,2.6303,2.7781,1.869,2.6428,3.7625,1.8433,4.1619,1.5985,4.6219,4.8113,2.8095,3.0192,4.4217
ENSG00000001167,0.3695,0.3746,1.1498,0.72,0.4857,1.2287,0.7304,0.6141,0.3812,0.6013,0.7324,0.6865,0.9287,0.6729
ENSG00000001460,2.126,2.0901,2.3445,2.172,2.2033,2.3826,1.197,2.3645,1.8858,2.0433,2.9175,2.3736,2.8222,3.0153
ENSG00000001461,4.2243,7.1935,4.3484,3.407,5.9196,6.862,1.5094,8.2984,4.3304,10.7633,14.7063,7.4736,8.9051,13.6052
ENSG00000001497,1.432,2.3849,1.509,1.3976,1.8295,1.7079,1.6543,1.938,1.751,1.935,2.3816,1.9973,2.3956,2.68
ENSG00000001561,3.2131,4.2417,4.0107,1.2905,4.2186,5.7291,1.2673,5.9201,2.9546,6.8652,6.9648,3.53,4.2046,9.0582
ENSG00000001617,0.0685,0.0257,0.1707,0.8103,0.1314,0.4706,0.4106,0.0534,0.1782,0.0507,0.0596,0.0962,0.113,0.002
ENSG00000001626,0.3029,0.5431,0.8882,0.6084,0.3657,0.9161,0.2546,0.4523,0.1975,0.4186,0.6725,0.8381,0.4823,0.8462
