gene,GSM5470489,GSM5470490,GSM5470491,GSM5470492,GSM5470493,GSM5470494
ENSG00000000003,1.0718,1.5782,1.398,0.7374,0.6701,0.8139
ENSG00000000005,0.002,0.0166,0.0062,0.0141,0.0001,0.0053
ENSG00000000419,0.8531,0.5382,0.8311,0.8441,1.6107,1.8262
ENSG00000000457,3.991,7.1662,4.4936,3.5297,2.0939,1.9546
ENSG00000000460,1.2906,0.8012,1.3464,1.5634,1.24,1.0327
ENSG00000000938,0.0238,0.2357,0.0332,0.118,0.0528,0.0422
ENSG00000000971,0.1674,2.5045,0.2397,0.3841,0.2784,0.6513
ENSG00000001036,1.7494,0.8225,1.361,1.3188,1.3832,1.1208
ENSG00000001084,7.5094,1.8606,6.184,5.9904,5.1472,4.9313
ENSG00000001167,1.201,0.6582,1.2883,1.9873,1.3691,1.6775
ENSG00000001460,2.7231,2.2524,2.9397,3.3479,3.5833,2.7387
ENSG00000001461,12.7706,3.5746,12.5525,9.3884,16.1294,9.9457
ENSG00000001497,4.4366,1.9812,6.1777,2.4684,3.1917,2.4945
ENSG00000001561,13.1695,2.6803,6.2991,4.3789,7.1189,7.9254
ENSG00000001617,0.0206,0.3011,0.0144,0.0542,0.0301,0.0717
ENSG00000001626,1.8954,0.4522,1.765,1.544,0.7563,1.4087
ENSG00000001629,16.4436,5.4466,13.6318,15.2673,15.0049,13.3055
ENSG00000001630,8.751,2.907,7.2561,4.7171,15.1527,24.1
ENSG00000001631,5.7542,4.3096,4.6174,6.4484,7.8005,5.7904
ENSG00000002016,2.3209,1.1238,2.9551,2.5618,5.0212,3.8092
ENSG00000002079,0.0907,0.0582,0.107,0.0253,0.0175,0.0129
ENSG00000002330,0.5797,1.2725,0.86,0.6856,2.4662,2.0978
ENSG00000002549,1.7953,1.4434,1.9685,1.9088,2.1397,1.988
ENSG00000002586,0.7118,2.5056,1.4149,0.4995,0.4867,1.4313
ENSG00000002587,0.4283,1.1183,0.2714,0.4077,0.2664,0.2791
ENSG00000002726,0.0499,0.1093,0.0596,0.0924,0.0256,0.0351
ENSG00000002745,0.0254,0.1312,0.025,0.0983,0.0283,0.1022
ENSG00000002746,0.787,4.2045,0.6569,1.0251,0.564,0.5068
ENSG00000002822,0.6134,0.506,0.8035,0.6252,0.693,1.041
ENSG00000002834,1.5758,2.7556,1.4232,1.732,1.4684,1.6205
ENSG00000002919,1.0124,0.5564,0.8565,0.93,1.1969,0.8943
ENSG00000002933,0.1705,0.4438,0.2054,0.2646,0.2479,0.7062
ENSG00000003056,2.583,2.2653,1.9709,2.0134,2.664,2.2176
ENSG00000003096,0.1801,0.3778,0.1636,0.4158,0.2541,0.4031
ENSG00000003137,0.0544,0.1873,0.0291,0.0352,0.0386,0.0513
ENSG00000003147,0.8632,2.4736,0.7423,1.0319,0.7913,0.7314
ENSG00000003249,0.2177,0.5646,0.2263,0.1854,0.2032,0.1038
ENSG00000003393,2.6249,3.7375,3.031,2.8853,2.5067,2.9968
ENSG00000003400,2.471,2.2396,2.3377,2.573,1.8954,2.5056
ENSG00000003402,36.8681,30.8349,38.6604,41.9752,29.0433,30.2575
ENSG00000003436,24.5514,22.7456,21.1586,30.8007,16.3618,16.325
ENSG00000003509,1.7596,1.8047,1.6373,2.1287,1.7463,1.1961
ENSG00000003756,21.2664,10.3108,22.1161,24.4548,18.7282,18.3533
ENSG00000003987,4.4858,1.5361,4.2985,3.2166,2.1698,2.1292
ENSG00000003989,0.6276,0.8502,0.7632,0.5078,0.5314,1.043
ENSG00000004059,0.9112,0.9473,1.106,0.3743,1.7566,1.4172
ENSG00000004139,1.2023,1.1177,1.8177,1.1839,0.8197,0.7341
ENSG00000004142,1.0253,1.3123,1.1906,1.0198,1.6882,1.1836
ENSG00000004399,2.9165,1.2372,3.6495,3.46,3.3463,5.8723
ENSG00000004455,2.5676,1.3541,2.6185,2.0529,2.4752,2.8198
ENSG00000004468,1.4642,0.7693,2.0173,1.1896,0.6219,0.669
ENSG00000004478,2.4055,2.5663,2.9172,19.8618,16.686,36.0738
ENSG00000004487,1.2932,2.0687,1.3313,1.0437,1.5312,1.5001
ENSG00000004534,8.3801,8.3882,7.9088,13.48,19.0812,14.262
ENSG00000004660,0.4048,1.9282,0.5116,0.4378,0.4693,0.2637
ENSG00000004700,1.1084,1.0401,1.1486,0.9716,1.2916,1.1577
ENSG00000004766,2.6936,2.6456,2.2495,2.8616,2.4215,1.47
ENSG00000004776,0.1108,0.6298,0.435,0.1075,0.0507,0.0885
ENSG00000004777,2.9508,0.9137,4.557,1.8009,2.1279,2.6318
ENSG00000004779,0.9813,0.9152,1.2173,0.7143,4.5101,2.5298
ENSG00000004799,8.8163,1.3026,10.2705,8.7122,17.6046,10.6277
ENSG00000004809,0.1812,0.0701,0.2513,0.1535,0.1865,0.1768
ENSG00000004838,0.1092,2.3218,0.1095,0.2863,0.2154,0.3135
ENSG00000004846,0.4757,0.4983,0.4371,0.4936,0.2319,0.2844
ENSG00000004848,0.283,0.6757,0.1225,0.1423,0.0838,0.1264
ENSG00000004864,6.0421,0.7547,4.7558,2.7984,5.0885,7.9787
