gene,GSM7670133,GSM7670134,GSM7670135,GSM7670136,GSM7670137,GSM7670138,GSM7670139,GSM7670140,GSM7670141,GSM7670142,GSM7670143,GSM7670144
ENSG00000000003,0.0174,0.0214,0.022,0.0086,0.0111,0.0143,0.0182,0.0198,0.0184,0.0061,0.0284,0.0107
ENSG00000000419,2.9708,3.1084,4.5872,2.606,2.5785,2.8484,2.8891,3.5731,4.5878,2.8658,3.0626,2.4429
ENSG00000000457,1.1037,1.3014,1.1668,1.1556,1.1404,1.1873,1.2095,1.0452,1.1455,1.2051,1.2989,1.052
ENSG00000000460,0.7728,0.4771,0.6427,1.4134,1.2688,0.9303,0.2617,0.6379,0.6615,1,0.6592,1.2196
ENSG00000000938,0.0123,0.0037,0.0534,0.0193,0.0362,0.0103,0.0048,0.0397,0.0396,0.0084,0.0006,0.0387
ENSG00000000971,0.0068,0.0154,0.0025,0.0214,0.0176,0.0044,0.0104,0.0102,0.0067,0.0075,0.0079,0.0202
ENSG00000001036,0.4021,0.3006,0.407,0.369,0.4076,0.4547,0.4579,0.4555,0.4229,0.418,0.4241,0.3716
ENSG00000001084,2.4522,3.3684,2.8283,1.9153,1.9924,2.0345,2.8655,2.435,2.7368,2.1265,2.9811,1.9691
ENSG00000001167,2.8751,3.3292,3.468,3.0095,2.7445,2.6537,2.849,3.1634,3.4094,2.7322,3.0648,2.7535
ENSG00000001460,0.1874,0.2646,0.2069,0.1957,0.2288,0.2686,0.2985,0.242,0.2142,0.218,0.2622,0.2173
ENSG00000001461,1.2816,1.1132,1.1829,1.5457,1.5565,2.1348,1.2701,1.11,1.0963,1.5605,1.2255,1.3292
ENSG00000001497,4.958,5.1777,5.9322,4.1272,4.1368,4.2029,4.3659,6.0438,6.2558,4.6412,4.5824,4.7338
ENSG00000001561,0.4724,0.7232,0.641,0.5296,0.4497,0.4575,0.6055,0.4775,0.5977,0.5126,0.6092,0.4975
ENSG00000001617,0.0032,0.0007,0.0015,0.0005,0.0005,0.0015,0.0007,0.0038,0.004,0.0013,0.0006,0.0016
ENSG00000001626,0.0023,0.0095,0.0056,0.0058,0.0036,0.0055,0.0141,0.0075,0.0049,0.0066,0.0079,0.0017
ENSG00000001629,2.3802,2.6477,2.3444,2.5398,2.459,2.2739,2.6541,2.1475,2.0333,2.3225,2.4357,2.4059
ENSG00000001630,3.5929,4.2361,6.3252,2.3665,2.3311,2.4327,3.6579,5.7586,6.6998,3.3209,4.0324,2.647
ENSG00000001631,2.0325,2.5348,1.9227,2.1583,2.1701,1.9522,2.2496,2.0261,1.8769,2.1724,2.4206,1.8786
ENSG00000002016,0.3076,0.3804,0.2354,0.4437,0.4568,0.4213,0.4021,0.3049,0.2755,0.342,0.358,0.3959
ENSG00000002330,0.3495,0.2217,0.2626,0.4417,0.4036,0.3525,0.2121,0.1867,0.2405,0.3671,0.2217,0.3552
ENSG00000002549,4.3348,4.0867,5.9546,3.5982,3.4208,3.1714,3.7472,5.2604,5.9594,4.1954,3.5908,4.0646
ENSG00000002586,7.641,8.1464,7.7601,4.4282,4.2693,6.9108,7.9259,6.4567,7.9193,6.4338,7.1687,4.0919
ENSG00000002587,0.0397,0.0198,0.0178,0.0289,0.0312,0.0281,0.03,0.0366,0.0174,0.0333,0.0286,0.0258
ENSG00000002726,0.0014,0.0066,0.0015,0.0069,0.0056,0.0025,0.0007,0.0027,0.0022,0.0049,0.0039,0.0072
ENSG00000002745,0.005,0.0037,0.0046,0.0078,0.0158,0.0044,0.0021,0.0114,0.0085,0.0084,0.014,0.0114
ENSG00000002746,0.0071,0.006,0.0057,0.0068,0.006,0.0103,0.008,0.005,0.0072,0.0107,0.0108,0.0137
ENSG00000002822,0.6634,0.5553,0.5108,0.5747,0.687,0.9534,0.6152,0.5654,0.5174,0.6821,0.518,0.7404
ENSG00000002834,7.6376,6.2425,5.6642,7.3723,8.1646,9.6292,8.0439,7.5877,6.224,8.7489,7.6,6.7924
ENSG00000002919,1.3052,1.2119,1.3759,1.2541,1.2431,0.9263,1.0105,1.1077,1.34,1.1841,1.1486,1.2202
ENSG00000002933,0.0005,0.0007,0.0005,0.0016,0.0015,0.0015,0.0007,0.0027,0.0013,0.0013,0.0017,0.0049
ENSG00000003056,12.2343,11.4023,18.2041,10.7389,11.7651,13.7486,13.0069,20.5136,19.31,12.4514,12.0764,10.4793
ENSG00000003096,0.0333,0.0168,0.0117,0.0131,0.0239,0.0367,0.0159,0.0212,0.0289,0.0323,0.0095,0.0202
ENSG00000003147,0.0317,0.0418,0.024,0.0351,0.0279,0.0351,0.0316,0.0397,0.0237,0.0259,0.0504,0.0314
ENSG00000003249,0.0232,0.0124,0.0137,0.0121,0.0251,0.0152,0.0173,0.0234,0.02,0.0171,0.0164,0.0082
ENSG00000003393,1.019,1.3754,1.1233,0.7901,0.7704,0.8938,1.0775,1.1275,1.183,0.9592,1.1588,0.7516
ENSG00000003400,1.8912,2.2937,1.5104,1.577,1.5143,2.4819,2.6971,1.4509,1.6547,2.0708,1.9055,1.3429
ENSG00000003402,17.9837,28.7421,30.8029,15.745,10.5874,9.5202,14.5901,19.754,27.117,16.1562,21.6673,16.4959
ENSG00000003436,0.4913,0.7965,0.245,0.5866,0.5812,0.6508,0.8502,0.4649,0.2303,0.5666,0.7721,0.5174
ENSG00000003509,1.0988,1.3339,0.9527,1.058,0.9855,1.0572,1.1691,1.0875,0.9949,1.0271,1.0858,0.8722
