gene,GSM7813411,GSM7813412,GSM7813413,GSM7813414,GSM7813415,GSM7813416,GSM7813417,GSM7813418,GSM7813419,GSM7813420,GSM7813421,GSM7813422,GSM7813423,GSM7813424
ENSG00000000003,0.3704,0.4329,0.0823,0.383,0.1406,0.3735,0.3366,0.3032,0.5199,0.2884,0.0816,0.124,0.1663,0.175
ENSG00000000419,1.947,1.3888,1.8289,1.8486,1.3881,1.1432,1.7981,1.4992,0.9662,2.1737,1.2226,0.8926,1.3323,1.1978
ENSG00000000457,1.1704,0.6598,0.7602,0.7281,0.6236,0.8862,0.6945,0.8328,1.064,0.9105,0.7993,0.9963,0.6302,0.6102
ENSG00000000460,0.4409,0.661,0.6639,0.5598,0.616,0.3897,0.5098,0.5765,0.5175,1.2463,0.6869,0.1382,0.5182,0.7538
ENSG00000000938,3.5006,1.0386,0.412,0.9013,6.3137,8.6212,6.2019,4.3412,2.9619,0.0029,6.7039,5.4295,4.4505,7.1573
ENSG00000000971,0.0143,0.0024,0.0169,0.0042,0.0027,0.0069,0.0024,0.01,0.0063,0.0145,0.0134,0.0112,0.0151,0.0067
ENSG00000001036,0.861,0.9641,1.2745,1.0962,1.2233,1.0254,0.658,1.0984,0.8764,0.815,0.7169,0.7299,0.6586,0.6277
ENSG00000001084,0.454,0.2153,0.4539,0.4167,0.4763,0.4244,0.6493,0.4231,0.3758,0.3797,0.5157,0.5361,0.3227,0.5554
ENSG00000001167,0.5729,0.5205,0.759,0.5875,0.514,0.5335,0.6485,0.4957,0.3319,1.0221,0.5025,0.7181,0.7666,0.573
ENSG00000001460,0.1567,0.2147,0.176,0.2655,0.2656,0.278,0.2349,0.1322,0.2377,0.1682,0.1143,0.1406,0.1962,0.1397
ENSG00000001461,0.9564,1.7634,0.8647,0.977,1.7779,1.5872,1.7142,0.9347,1.5371,0.3527,1.0424,0.5929,1.7106,1.2063
ENSG00000001497,2.0408,1.8206,2.0699,2.2263,2.6305,1.8961,2.9287,2.6914,1.6512,4.6266,2.8723,2.3244,3.4528,2.7618
ENSG00000001561,1.1397,0.8755,0.841,0.4236,0.5745,0.9446,0.8147,0.845,0.4165,0.3829,0.5669,0.6376,0.434,0.3528
ENSG00000001617,0.002,0.012,0.0217,0.0042,0.0137,0.0023,0.0024,0.002,0.0063,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000001626,0.0183,0.0024,0.0024,0.0455,0.0137,0.0316,0.0024,0.01,0.0804,0.999,0.0134,0.0191,0.0194,0.0247
ENSG00000001629,3.8819,3.9699,3.3133,4.0067,3.469,3.8776,3.095,3.2628,4.2262,1.4709,2.8032,2.5089,2.4363,2.5279
ENSG00000001630,4.9565,5.4494,9.8031,7.9246,6.724,5.2992,3.7334,5.0197,6.1538,5.9747,3.6889,6.3921,2.7861,6.873
ENSG00000001631,2.7916,3.7284,3.3984,2.726,2.381,2.8431,2.7734,2.4874,2.8901,2.7633,2.7215,2.4167,3.4641,3.1595
ENSG00000002016,0.2467,0.2375,0.2386,0.1914,0.2007,0.4134,0.1784,0.1987,0.3531,0.3253,0.2445,0.2443,0.2922,0.2323
ENSG00000002079,0.002,0.0072,0.0217,0.0014,0.0082,0.0023,0.0024,0.01,0.0021,0.0029,0.0027,0.0022,0.0022,0.0247
ENSG00000002330,0.7197,0.3334,0.359,0.4236,0.4865,0.4503,0.4917,0.7326,0.5687,0.6651,0.5992,0.548,0.4599,0.2989
ENSG00000002549,3.4679,2.9767,3.6843,3.8649,2.1027,2.1132,2.9572,2.7356,2.1459,0.786,1.7062,1.6532,2.52,2.3348
ENSG00000002586,3.5822,4.2433,2.7934,4.8534,4.648,6.2164,4.753,6.7779,11.9276,6.1808,4.1921,4.9185,1.8335,4.3182
ENSG00000002587,1.4499,0.1184,0.0712,0.0716,0.0702,0.0682,0.2593,0.1171,0.0362,0.0264,0.2564,0.0067,0.033,0.0616
ENSG00000002726,0.0599,0.065,0.0024,0.0558,0.0358,0.0671,0.0071,0.0221,0.1631,0.0087,0.0457,0.0391,0.0454,0.0528
ENSG00000002745,0.0754,0.0744,0.041,0.0042,0.0027,0.0208,0.0119,0.0261,0.0106,0.0029,0.0081,0.0022,0.0022,0.0022
ENSG00000002746,0.4015,0.1746,0.154,0.2971,0.1448,0.246,0.1648,0.2509,0.3492,0.2203,0.4159,0.2389,0.3719,0.3078
ENSG00000002822,0.7835,0.3167,0.2456,0.3898,0.223,0.2067,0.7139,0.6617,0.4643,0.6029,0.4819,0.3228,0.7023,0.6079
ENSG00000002834,15.1741,17.3977,15.6296,14.8418,17.9988,17.8704,18.6107,19.72,15.3534,15.7267,15.1159,15.3884,17.1558,14.2465
ENSG00000002919,8.2522,3.9753,5.4675,3.9972,4.6777,2.7913,5.6984,3.787,2.5116,2.8131,6.3293,3.8632,4.9156,2.5781
ENSG00000002933,0.0265,0.012,0.0265,0.0375,0.0082,0.0162,0.0024,0.01,0.0106,0.0202,0.0081,0.0067,0.0065,0.0022
ENSG00000003056,4.4494,4.2068,5.5445,4.3931,5.8681,3.9479,4.9839,4.6535,3.855,3.1981,4.1857,2.9259,5.7866,4.5015
ENSG00000003096,0.0102,0.0744,0.306,0.0764,0.0522,0.1594,0.1876,0.01,0.0106,1.4194,0.7443,0.5391,0.3736,0.5865
